Query_Index,Execution_Time,Result,Triple_Count
query_219,3027,165926103.47940394,3
query_215,2497,3267928165946.273,3
query_533,2039,239796.80679462015,3
query_213,2047,193816454.11764705,3
query_56,2055,2.336338257749601e+16,3
query_21,1695,38041.42054292472,3
query_209,1955,40027383311.563446,3
query_542,1467,132915544.0,3
query_544,1548,3010290416640.0,3
query_304,2203,125819548355.96391,3
query_363,1832,443427747840.0,3
query_202,2596,28.523662561850507,3
query_201,2809,75275829.9973536,3
query_594,1698,234591995.2014696,3
query_20,2021,110953.45329214836,3
query_306,1692,284535443.1326071,3
query_399,2280,41138220504.64816,3
query_54,3073,3652535256.061648,3
query_596,2027,2471089.7695555715,3
query_61,1611,621.8494279648522,3
query_601,1879,2684661.5602114247,3
query_122,1797,748864.0243142145,3
query_121,1730,802973494.82694,3
query_120,2350,6037658860.05011,3
query_665,1743,71409.0643448524,3
query_119,3027,106.3546791353256,3
query_671,1947,34744759737.66246,3
query_673,3373,115.0886591699864,3
query_677,3362,67.1498421525474,3
query_68,2962,821616455.4627327,3
query_112,1931,3608019243.975422,3
query_111,2364,181244832299.6406,3
query_123,2207,2431303.73093367,3
query_33,1403,668781350.0,3
query_80,2523,347825903282.7416,3
query_82,2419,508164829.4199591,3
query_84,2371,1575955472006.7317,3
query_328,3202,599.7480274113308,3
query_327,2538,43923530339.99712,3
query_89,1799,6927717347150022.0,3
query_90,2001,1.0589894522853108e+16,3
query_91,4551,9938324040.584146,3
query_93,3096,47933554.51432091,3
query_94,1923,16607935438.891895,3
query_100,1717,485986988.1634279,3
query_74,2224,64212.10198929617,3
query_165,3355,119.90037821721678,3
query_126,2097,334823.46068418445,3
query_13,2540,363940.75974158105,3
query_602,2254,19826145182501.195,3
query_164,1834,6961.292739204699,3
query_160,2707,138127588186.079,3
query_343,1792,147440.16942461525,3
query_313,2203,62446760.81513625,3
query_156,2151,476378.4121964992,3
query_617,1944,179587125581.98816,3
query_340,1529,100608095.36179116,3
query_151,2212,15907636.426938727,3
query_34,2550,63888469.63468108,3
query_15,1695,133589.70291360075,3
query_333,2285,17081455405.361507,3
query_315,1702,227573136.0,3
query_145,2096,6965885.393468559,3
query_144,2316,4122250.497996485,3
query_141,2001,449878437998.2662,3
query_140,2138,634707.1747711027,3
query_136,1976,309706.4834984449,3
query_134,1561,818.5425731395044,3
query_133,3209,40955641.51310346,3
query_317,1740,294366737.55164605,3
query_131,107993,0.0,3
query_130,1988,5280.12236631016,3
query_651,1767,7469221544.002409,3
